"","isocode","income","gdp_per_capita_usd","unemployment_rate","inflation_rate","health_expenditure_pct_gdp","health_expenditure_per_capita","population","gdp_total_usd","date","totalvaccinations","peoplevaccinated","peoplefullyvaccinated","totalboosters","dailyvaccinationsraw","dailyvaccinations","totalvaccinationsperhundred","peoplevaccinatedperhundred","peoplefullyvaccinatedperhundred","totalboostersperhundred","dailyvaccinationspermillion","dailypeoplevaccinated","dailypeoplevaccinatedperhundred"
"26","abw","High income",27200.0610793969,9.21476024498569,3.49505757399448,7.48661852,1270.97814941,107700,2929446578.25104,2021,132301.774647887,71633.0845070423,60668.6901408451,555673.615384615,598.129943502825,511.436823104693,124.274929577465,67.2872769953052,56.98779342723,16.0124783861671,4804.06859205776,261.56678700361,0.245671480144404
"27","aus","High income",58049.6139606671,5.116,2.86391042204994,10.42525291,3568.8379287675,25685412,32389335868.1661,2021,16488882.4598071,9620030.74757282,6872141.75163399,494618.012048193,137335.466019417,135372.971246006,62.9890353697749,36.7495792880259,26.2521568627451,1.88927710843373,5171.36102236422,65296.0511182109,0.249450479233227
"28","aus","High income",58049.6139606671,3.728,6.59409671341846,9.92687893,3568.8379287675,26014399,32389335868.1661,2022,56612144.7118644,21728706.7083333,20925232.6848485,13682807,89793.2869955157,58183.3643835616,216.263050847458,83.0058333333333,79.9364242424242,52.26936,2222.66849315068,18534.6288659794,0.0707731958762887
"29","aus","High income",58049.6139606671,3.668,5.5970149253731,10.0194025,3269.70385742,26658948,32389335868.1661,2023,66407334.0833333,1755701.5,1541441.84210526,19758717.2,10435,16557.4493150685,253.6825,45.032868852459,39.9728125,75.48,632.413698630137,1084.48754280822,0.0271931506849315
"30","aut","High income",56033.573792065,5.264,7.81413417002832,10.87779903,3568.8379287675,9131761,511685203845.001,2023,20444097.9615385,6899387,6682616.03846154,5404349.5,10435,663.24861878453,228.691923076923,77.1769230769231,74.7530769230769,60.4534615384615,74.1823204419889,11.9668508287293,1.65745856353591e-05
"31","aut","High income",53648.7190742245,6.459,2.7666666666667,12.15228558,3568.8379287675,8955797,480467037338.783,2021,7405992.46153846,3931167.21153846,3183289.51923077,471935.367346939,10435,46447.9243697479,82.8451923076923,43.975,35.6086538461538,5.27836734693878,5195.71708683473,18771.8263305322,0.210002801120448
"32","aut","High income",52176.6649141178,4.992,8.5468699318845,11.15729332,3568.8379287675,9041851,471773629830.381,2022,18868651.25,6873495.69230769,6639489.80769231,5188464.5,10435,10333.197260274,211.068269230769,76.8876923076923,74.2707692307692,58.0390384615385,1155.87671232877,550.695890410959,0.00613972602739726
"33","aze","Upper middle income",5408.04535175023,6.04,6.65029912708779,4.68526697,250.9887085,10137750,54825411764.7059,2021,5632238.53007519,2967014.83003953,2478002.46456693,986971.788461538,36967.2975206612,32396.0028735632,54.3751879699248,28.6447826086957,23.9229921259843,9.52769230769231,3127.65229885057,14860.4971264368,0.143442528735632
"34","aze","Upper middle income",7770.594223351,5.65,13.8522590144267,3.97840643,304.20162964,10141756,78807470588.2353,2022,13106723.0324675,5306071.97402597,4805822.77272727,2827167.83660131,13638.3230769231,10787.6583333333,126.536168831169,51.2265584415584,46.3968831168831,27.2944444444444,1041.44583333333,878.408333333333,0.0084375
"35","bhs","High income",33044.388209429,9.272,5.60540633583044,7.21692038,2341.32348633,397538,13136400000,2022,342888.833333333,167438.208333333,158908.958333333,27954.375,10435,169.235616438356,83.6325,40.84,38.7595833333333,6.81875,412.884931506849,46.2,0.0113342465753425
"36","bhs","High income",35896.50510715,8.643,3.05291578969743,7.48661852,1270.97814941,399440,14338500000,2023,366221,174810,166879,36932,10435,9.54545454545454,89.325,42.64,40.705,9.01,23.3560606060606,4,0.001
"37","bhs","High income",28682.3270000732,11.032,2.90491262928478,7.0057478,2037.53186035,396373,11368900000,2021,133636.80952381,71841.0540540541,70323.8387096774,6954,3086,1036.7133105802,32.595,17.5224324324324,17.151935483871,1.7,2528.60750853242,538.901023890785,0.131464163822526
"38","bhr","High income",24342.8444554718,1.781,-2.31770629331379,4.7196188,1101.79211426,1472204,35837632978.7234,2020,52418.2222222222,52418.2222222222,1541441.84210526,555673.615384615,2459.75,4332.125,3.56,3.56,39.9728125,16.0124783861671,2942.5,4332.125,0.294125
"39","bhr","High income",27147.8083882286,1.541,-0.60631938514085,4.49223804,1175.28198242,1504365,40840212765.9574,2021,2030159.38019169,856596.788888889,894729.368770764,809530,8842.35576923077,8624.29315068493,137.896261980831,58.1830555555556,60.7735548172757,54.9863636363636,5857.91506849315,3142.24109589041,0.21341095890411
"40","bhr","High income",30616.2610677495,1.326,3.62574104304482,3.83745313,1110.67590332,1524693,46680398936.1702,2022,3436980.64628821,1235065.72925764,1218222.09606987,983829.859030837,871.316831683168,771.816901408451,233.453362445415,83.8906986899563,82.7463318777293,66.8252863436123,524.23661971831,111.504225352113,0.00755492957746478
"41","bgd","Lower middle income",2716.48592677835,4.593,7.69695437176898,2.39038587,61.09237671,169384897,460131688909.301,2022,260773555.430894,127982896.209302,107546104.682927,27229903.5833333,1178318.35294118,582198.457534247,152.333577235772,74.7624031007752,62.8237398373984,15.90725,3400.93150684932,208028.367123288,0.121517808219178
"42","bgd","Lower middle income",2482.84917843357,5.327,5.54565430773473,2.36551309,58.53958511,167658854,416271647911.014,2021,28256511.2184466,18131417.4271845,12415293.577381,555673.615384615,531187.480916031,360893.896755162,16.5066504854369,10.5916019417476,7.25297619047619,16.0124783861671,2108.18584070796,215966.938053097,0.126185840707965
"43","bgd","Lower middle income",2551.01772674142,4.454,9.8835030377921,3.344135165,71.046028135,171466990,437415331040.994,2023,358784893.283871,151331343.923077,140015612.308176,67762240.0506329,120825.848484848,73511.4493150685,209.587290322581,88.4009615384615,81.7903773584906,39.5838607594937,429.38904109589,6475.98630136986,0.00377808219178082
"44","brb","High income",23804.0249914995,7.878,9.79207077126447,7.48661852,1270.97814941,282336,6720733200,2023,381881.777777778,163841.555555556,155028.111111111,62756.4444444444,10435,8.2534435261708,135.588888888889,58.1722222222222,55.0444444444445,22.28,29.33608815427,0.0606060606060606,0
"45","brb","High income",18696.7858952957,9.433,3.49505757399448,7.93866014,1391.49853516,282147,5275242050,2021,177152.7003367,103318.127946128,94520.9827586207,555673.615384615,985.5,944.244514106583,62.8989225589226,36.6839393939394,33.56,16.0124783861671,3352.57680250784,495.451410658307,0.17592789968652
"46","brb","High income",22164.0260273876,8.365,3.49505757399448,6.29389191,1302.0592041,282318,6257303500,2022,314687.605150215,161437.697777778,151669.9125,62059.3333333333,77.1959798994975,225.087671232877,111.731287553648,57.3194666666667,53.8510416666667,22.0316666666667,799.202739726027,22.3424657534247,0.00792054794520548
"47","blr","Upper middle income",7489.71894713888,3.9,9.46028389623103,6.56549978,484.03930664,9302585,69673747131.87,2021,3054590.03125,1755701.5,1333106.22580645,114146,10435,22780.2575342466,32.03625,18.4121875,13.9809677419355,1.2,2389.0602739726,12902.8684931507,0.135347945205479
"48","blr","Upper middle income",7994.64806074889,3.574,15.209675274081,6.65919876,529.01873779,9228071,73775179924.603,2022,12745453.75,5815322.47368421,5134919.94736842,1635919.40909091,10435,27166.6082191781,133.67,60.9894736842105,53.8542105263158,17.1563636363636,2849.10410958904,4736.4602739726,0.0496547945205479
"49","blr","Upper middle income",6542.8645398436,4.049,5.54814357456511,6.40607214,420.43655396,9379952,61371755326.2351,2020,0,0,1541441.84210526,555673.615384615,10435,403,0,0,39.9728125,16.0124783861671,42,403,0.004
"50","blr","Upper middle income",7829.05313660622,3.461,5.0005990309131,7.50389433,465.57043457,9178298,71857382745.6066,2023,20503412.375,6463898.25,6370073.25,5663899.5,10435,17379.743902439,215.035,67.7925,66.8075,59.40125,1822.92276422764,342.207317073171,0.00351219512195121
"51","bel","High income",45906.2875805246,5.545,0.740791812220344,11.26481915,3568.8379287675,11538604,529694473501.791,2020,625.75,625,1,555673.615384615,197,165.333333333333,0.005,0.005,0,16.0124783861671,14,165,0.00133333333333333
"52","bel","High income",51655.7883303715,6.248,2.44024851144084,11.04724503,3568.8379287675,11586195,598494036474.409,2021,10137801.909589,5444847.36712329,4631304.33802817,585383.237903226,59532.6712328767,59100.4082191781,86.9755068493151,46.713095890411,39.7334929577465,5.02266129032258,5070.43835616438,24481.7780821918,0.210049315068493
"53","bel","High income",50807.2047084918,5.57,9.597511728725,10.76192474,3568.8379287675,11680210,593438820508.173,2022,26145616.8708791,9227280.47945206,9114301.28846154,8344458.29120879,21373.8209366391,21708.7452054795,224.311950549451,79.1636164383562,78.1949175824176,71.5901098901099,1862.46301369863,885.594520547945,0.00757260273972602
"54","bel","High income",54700.9093236712,5.528,4.04901077613941,9.10995388,3282.81738281,11787423,32389335868.1661,2023,29989823.8184524,9261032.76587302,9165145.53869048,12088553.514881,6348.21035598705,5382.51506849315,257.292708333333,79.4546825396825,78.6306547619048,103.711369047619,461.81095890411,7.59786476868327,0
"55","blz","Upper middle income",7459.99815132837,8.267,4.38984017487675,6.868320705,478.728759765,411106,3066850000,2023,502902.909090909,252500.636363636,221349.727272727,51555.8181818182,10435,68.5675675675676,124.085454545455,62.3027272727273,54.6172727272727,12.7209090909091,169.135135135135,51.2702702702703,0.0124864864864865
"56","blz","Upper middle income",7068.45478269722,8.763,6.27689319447544,4.23173904,297.4163208,402733,2846700000,2022,480403.688888889,242924.8,213608.222222222,47476.425,10435,207.087671232877,118.534666666667,59.9388888888889,52.7055555555555,11.71475,510.969863013699,58.8493150684931,0.0144739726027397
"57","blz","Upper middle income",6122.61158580079,10.322,3.23563659237071,5.05842113,310.2124939,395346,2420550000,2021,145048.763636364,99205.2454545454,69430.5652173913,555673.615384615,2307.26923076923,1395.22875816993,35.7890909090909,24.4782727272727,17.131884057971,16.0124783861671,3442.58169934641,754.78431372549,0.186199346405229
"58","ben","Lower middle income",1318.83497843483,1.779,1.73353962694036,2.58129549,34.03829193,13413417,17690083519.9323,2021,424019.409090909,406953.80952381,397898.75,555673.615384615,10435,7633.14163090129,3.17454545454545,3.04619047619048,2.98,16.0124783861671,571.699570815451,7311.17596566524,0.054793991416309
"59","ben","Lower middle income",1264.70765976655,1.685,1.35077863583527,2.67981386,33.88216782,13759501,17401746309.2655,2022,3321465.35,2971146.10526316,2390627.0625,555673.615384615,10435,6834.21306818182,24.874,22.2515789473684,17.90375,16.0124783861671,511.795454545455,5536.28977272727,0.0415369318181818
"60","bmu","High income",58049.6139606671,5.382,3.99766999081457,11.22370815,3568.8379287675,64749,7827980000,2022,124968.055555556,47549.7777777778,46522.4444444444,30313.6875,10435,103.232804232804,194.633333333333,74.0572222222222,72.4566666666667,47.211875,1607.71957671958,11.8148148148148,0.0183862433862434
"61","bmu","High income",58049.6139606671,5.382,3.99766999081457,11.22370815,3568.8379287675,64648,7286607000,2021,60959.04,30827.2142857143,29905.8421052632,15034.5,10435,319.27323943662,94.9412,48.0116666666667,46.5765789473684,23.415,4972.56056338028,132.90985915493,0.207030985915493
"62","btn","Lower middle income",3570.61257915864,4.803,7.3468144053353,3.0729053,103.67519379,775442,2768802959.60794,2021,644603.06185567,481043.340659341,412472.290322581,555673.615384615,12676.9558823529,5071.03214285714,82.3820618556701,61.4783516483516,52.7151612903226,16.0124783861671,6480.91785714286,3044.225,0.389039285714286
"63","btn","Lower middle income",3711.32767902157,5.947,5.6391667139637,4.38545895,154.48924255,780914,2898227743.13545,2022,1795759.47058824,670358,638664.176470588,555673.615384615,10435,2812.33663366337,229.502352941176,85.6735294117647,81.6235294117647,71.0161538461538,3594.32673267327,355.062706270627,0.0454323432343234
"64","bol","Lower middle income",3643.92826968677,3.552,1.74632872945969,8.43142891,307.13800049,12077154,44008282877.9606,2022,13379918.2071429,7083394.4,5811394.425,1482175.64642857,17491.7357142857,18025.8535714286,109.455142857143,57.9458928571429,47.5403928571429,12.1250714285714,1474.64285714286,6499.55357142857,0.0531928571428571
"65","bol","Lower middle income",3384.84486479247,5.089,0.737383721452275,8.159729,276.20880127,11937360,40406111695.179,2021,4211178.61708861,2674619.54746835,1907468.62540717,350475.455696203,31287.7022653722,29029.7439759036,34.4496202531646,21.8798101265823,15.6041042345277,2.86683544303797,2374.78614457831,16696.1054216867,0.136581325301205
"66","bih","Upper middle income",7655.59421024383,12.657,14.0208440826771,8.71644783,667.29681396,3204802,24534663636.1778,2022,1924950,941584.5,844517,120530,10435,4315,59.53,29.12,26.12,3.73,1334,1014.34482758621,0.0317931034482759
"67","bih","Upper middle income",7295.3438240957,14.897,1.98163900587622,9.55514336,697.07427979,3244907,23672712242.2149,2021,611848.105263158,400702.75,249649.444444444,22572,46931,5537.43962848297,18.9221052631579,12.3925,7.72111111111111,0.7,1712.46749226006,2824.84829721362,0.0874024767801858
"68","bwa","Upper middle income",7820.23240375076,5.6365,5.0676154934383,6.10870004,409.552917485,2480244,19396084498.0084,2023,3167073.81818182,1900678.81818182,1611451.45454545,505728.727272727,10435,138.454794520548,120.405454545455,72.2618181818182,61.2654545454545,19.2263636363636,52.6383561643836,713.660273972603,0.0271561643835616
"69","bwa","Upper middle income",8329.04032229144,5.6365,11.665567478802,5.72838593,477.83258057,2439892,20321958850.0363,2022,2415785.61904762,1510289.11111111,1307149.55555556,356837.736842105,10435,5101.11780821918,91.8452380952381,57.4188888888889,49.6966666666667,13.5663157894737,1939.35890410959,1492.76712328767,0.0567205479452055
"70","bwa","Upper middle income",7808.20623956293,5.6365,7.24097765588442,6.30754805,492.14260864,2401441,18750946600.1423,2021,322030.583333333,239192.387755102,191619.64516129,555673.615384615,10435,4498.69039145907,12.2429166666667,9.09367346938775,7.2858064516129,16.0124783861671,1710.32028469751,4094.70818505338,0.155693950177936
"71","bra","Upper middle income",10294.866680778,7.947,4.59356282283204,6.868320705,478.728759765,211140729,32389335868.1661,2023,483893721.745763,189126758.881356,175606682.305085,125013987.27451,74788.5128205128,74587.2592592593,224.739322033898,87.8383050847458,81.5583050847458,58.0609803921569,346.37037037037,13306.1481481481,0.00622222222222222
"72","bra","Upper middle income",7972.53665048385,13.158,8.30165975585673,9.63646507,768.27075195,209550294,32389335868.1661,2021,137114463.586705,84308413.6345029,53597450.2638037,9651998.23728814,961442.764534884,948380.290229885,63.6812138728324,39.1561695906433,24.8928834355828,4.4828813559322,4404.62643678161,477423.971264368,0.221724137931034
"73","bra","Upper middle income",9281.33334441234,9.231,9.28010608956873,9.14277458,848.57122803,210306415,32389335868.1661,2022,434175734.134483,182182910.096552,164568460.758621,92341555.7762238,501733.375494071,411961.564383562,201.648275862069,84.6130344827586,76.4319310344828,42.8868881118881,1913.29589041096,61623.2054794521,0.0286328767123288
"74","brn","High income",32962.9065121916,5.183,0.35706431153689,10.0194025,3269.70385742,458949,15128292980.8638,2023,1290201.5,450942.25,446530,340133.25,10435,38.8232044198895,287.3475,100.4325,99.44875,75.75375,86.353591160221,2.60220994475138,0.000403314917127072
"75","brn","High income",31006.9636220576,4.905,1.73341388450593,2.14642429,665.54083252,451721,14006496614.3195,2021,320446.715151515,191333.787878788,147304.243055556,555673.615384615,2597.35,3227.40659340659,71.3689090909091,42.6135151515152,32.8075694444444,16.0124783861671,7187.92307692308,1492.59706959707,0.332391941391941
"76","brn","High income",36632.9280421411,5.191,3.68225030604216,1.81768215,665.86773682,455370,16681536442.5498,2022,1129776.28,427906.12,420734.12,296171.222222222,10435,1114.17260273973,251.6188,95.302,93.7036,65.9616666666667,2481.51506849315,122.906849315068,0.0273945205479452
"77","bgr","High income",15885.5391311331,4.319,9.44284140088564,9.10995388,3282.81738281,6446596,102407653020.606,2023,4634008.98958333,2112272.1,2077219.89236111,555673.615384615,482.040650406504,333.156164383562,68.3282986111111,31.146,30.6295486111111,16.0124783861671,49.1123287671233,137.232492997199,0.0019719887955182
"78","bgr","High income",13644.201582807,4.268,15.3252589264366,7.66357517,1011.09472656,6643324,90642851835.8996,2022,4410391.49546828,2092031.88,2050803.03691275,677486.4,2855.66225165563,2547.53150684932,65.0316616314199,30.8464,30.2390268456376,9.98957575757576,375.616438356164,412.92602739726,0.00597808219178082
"79","bgr","High income",10198.5388313404,5.125,1.67244096855756,8.48235893,856.70440674,6934015,70716821234.5967,2020,3163.5,3163.5,1541441.84210526,555673.615384615,2889,2183,0.05,0.05,39.9728125,16.0124783861671,322,2183,0.0325
"80","bgr","High income",12274.0775950496,5.267,3.29774435299515,8.61892796,1047.45739746,6877743,84417951260.8091,2021,1644572.84927536,541484.520930233,821296.424242424,214509.25,10430.3097345133,10059.1095890411,24.2492463768116,7.98423255813954,12.1100909090909,3.163,1483.21917808219,5351.46301369863,0.0789178082191781
"81","bfa","Low income",895.535288442991,5.2,3.65353287214209,6.40747881,57.22399521,21995243,19697516284.3787,2021,271513.529411765,233215.2,267241.3,555673.615384615,10435,5284.46698113208,1.19764705882353,1.02733333333333,1.178,16.0124783861671,233.075471698113,4896.1179245283,0.0215094339622642
"82","bfa","Low income",836.118304593682,5.389,14.2902354303358,6.77182007,56.75708389,22509038,18820218690.5948,2022,2829239.94736842,2384007.55555556,1541441.84210526,555673.615384615,10435,11706.0904109589,12.4778947368421,10.5144444444444,6.79736842105263,16.0124783861671,516.342465753425,9293.28493150685,0.0409808219178082
"83","bfa","Low income",882.689810086163,5.348,0.742910428668841,5.92793417,37.661224365,23025776,20324617844.5265,2023,6807874,5257415.33333333,4287962.33333333,4056,10435,12128.3970588235,30.0233333333333,23.1866666666667,18.9133333333333,0.02,534.799019607843,8036.09803921569,0.035671568627451
"84","bdi","Low income",193.007145564804,0.921,17.5244052090562,5.92793417,37.661224365,13689450,2642161668.85211,2023,37418.7222222222,34676.3333333333,34087.5555555556,303.166666666667,10435,28.7232876712329,0.29,0.270555555555556,0.263888888888889,0,2.18904109589041,19.4438356164384,8.49315068493151e-05
"85","bdi","Low income",214.091455416133,1.118,8.40453845076341,8.99484253,23.21740532,12965481,2775798697.46022,2021,2093.52380952381,1446.42857142857,985.866666666667,555673.615384615,76.6666666666667,108.082191780822,0.0157142857142857,0.01,0.008,16.0124783861671,8.36986301369863,64.7123287671233,0.000342465753424658
"86","bdi","Low income",250.634225368744,0.915,17.5244052090562,8.39522648,24.68718529,13321097,3338722827.65691,2022,20160.5357142857,18460.2068965517,17887.1724137931,53.1904761904762,10435,65.7780821917808,0.156785714285714,0.143103448275862,0.138965517241379,0,5.09041095890411,69.0602739726027,0.000408219178082192
"87","cpv","Lower middle income",4323.31362665974,12.246,7.93092925430087,6.67440224,285.9694519,519741,2247003347.63376,2022,751005.652173913,350758.956521739,300661.782608696,346.111111111111,10435,1034.60447761194,126.611739130435,59.1339130434783,50.6882608695652,0.0588888888888889,1744.19776119403,172.578358208955,0.0291865671641791
"88","cpv","Lower middle income",3971.4440744985,13.976,1.86215297494647,7.316607,282.93057251,516649,2051842609.64558,2021,261225.166666667,168228.894736842,95843.3947368421,555673.615384615,3731,2023.77083333333,44.0395238095238,28.3610526315789,16.1584210526316,16.0124783861671,3411.79166666667,1081.53125,0.182368055555556
"89","khm","Lower middle income",2429.74853452838,0.225,2.12746796594194,5.15676308,135.42979431,17423880,42335646895.7984,2023,46807448.75,15285417.9166667,14656732.3333333,10634440.5833333,10435,7184.17260273973,279.15,91.1595833333333,87.4095833333333,63.4220833333333,428.446575342466,206.805479452055,0.00136164383561643
"90","khm","Lower middle income",2167.40324198499,0.396,2.92073477592949,5.51976061,119.6354599,16974305,36790163687.4421,2021,13542041.5173502,7158644.38485804,6344582.7124183,1546584.48611111,97753.9837662338,93313.1415384615,80.7617665615142,42.6929022082019,37.8374509803922,9.22326388888889,5565.00615384615,43860.1353846154,0.261572307692308
"91","khm","Lower middle income",2325.03050040841,0.231,5.34370264895437,4.71089554,109.52975464,17201724,39994532959.6074,2022,35622599.2833333,14688506.7878788,13993375.3587786,7111289.66666667,65718.7010309278,40754.9205479452,212.44575,87.5987878787879,83.453893129771,42.4104938271605,2430.46575342466,2707.3698630137,0.0161753424657534
